default_code,Name
201050090,ไม้บันได SPC พับผ้า 1320x1240x140x1712x26 สี LC5802-5 L 
201050091,ไม้บันได SPC พับผ้า 1320x1240x140x1712x26 สี LC5802-5 R 
201050092,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี Luxury Oak (SMP-8010 WG) L 
201050093,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี Luxury Oak (SMP-8010 WG) R 
201050094,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี MODERN BEIGE (SN-7001-WG) L 
201050095,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี LC5802-5 L 
201050096,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี LC5802-5 R 
201050097,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี LC5802-5 L 
201050098,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี LC5802-5 R 
201050099,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี LC5802-5 L 
201050100,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี LC5802-5 R 
201050101,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี LC5802-5 L 
201050102,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี LC5802-5 R 
201050103,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี Luxury Oak (SMP-8010 WG) L 
201050104,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี Luxury Oak (SMP-8010 WG) R 
201050105,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี MODERN BEIGE (SN-7001-WG) L 
201050106,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี LC5802-5 L 
201050107,ไม้บันได SPC พับผ้า 1200x1200x1697x26 สี LC5802-5 R 
201050108,ไม้บันได SPC พับผ้า 1200x1220x1697x26 สี LC5802-5 L 
201050109,ไม้บันได SPC พับผ้า 1200x1220x1697x26 สี LC5802-5 R 
201050110,ไม้บันได SPC พับผ้า 1139x1166x1630x26 สี Forest Trail L 
201050111,ไม้บันได SPC พับผ้า 1139x1166x1630x26 สี Forest Trail R 
201050112,ไม้บันได SPC พับผ้า 1288x1243x80x1734x26 สี Forest Trail L 
201050113,ไม้บันได SPC พับผ้า 1288x1243x80x1734x26 สี Forest Trail R 
201050402,ไม้บันได SPC พับผ้า A 1200x1200x1697x26 สี IDOL OAK R 
201050403,ไม้บันได SPC พับผ้า B  1200x1200x1697x26 สี IDOL OAK R 
201050434,ไม้บันได SPC พับผ้า  1035x1035x1464x26 สี 5022-7 L 
201050435,ไม้บันได SPC พับผ้า  1035x1035x1464x26 สี 5022-7 R 
201050436,ไม้บันได SPC พับผ้า  1045x1045x1477x26 สี 5022-7 L 
201050437,ไม้บันได SPC พับผ้า  1045x1045x1477x26 สี 5022-7 R 
201050438,ไม้บันได SPC พับผ้า  1070x713x1286x26 สี 5022-7 L 
201050439,ไม้บันได SPC พับผ้า  1070x713x1286x26 สี 5022-7 R 
201050440,ไม้บันได SPC พับผ้า  450x400x1185x1150x26 สี 5022-7 L 
201050441,ไม้บันได SPC พับผ้า  450x400x1185x1150x26 สี 5022-7 R 
201050442,ไม้บันได SPC พับผ้า  570x990x1142x26 สี 5022-7 L 
201050443,ไม้บันได SPC พับผ้า  570x990x1142x26 สี 5022-7 R 
201050448,ไม้บันได SPC พับผ้า  1180x1120x1627x26 สี Forest Trail L 
201050449,ไม้บันได SPC พับผ้า  1180x1120x1627x26 สี Forest Trail R 
201050450,ไม้บันได SPC พับผ้าขั้น 10  1180x1120x1627x26 สี Forest Trail L 
201050451,ไม้บันได SPC พับผ้าขั้น 10  1180x1120x1627x26 สี Forest Trail R 
201050508,ไม้บันได SPC พับผ้า A  1200x1200x1697x26 สี IDOL  L 
201050509,ไม้บันได SPC พับผ้า B  1200x1200x1697x26 สี IDOL  L 
201050510,ไม้บันได SPC พับผ้าขั้น 10 1180x1180x1712x26 สี Forest Trail L 
201050511,ไม้บันได SPC พับผ้าขั้น 10 1180x1180x1712x26 สี Forest Trail R 
201050015,ไม้บันได SPC TOP 225x1600x150x1495x105x150x8 สี LC5802-5 L 
201050016,ไม้บันได SPC TOP 225x1600x150x1495x105x150x8 สี LC5802-5 R 
201050017,ไม้บันได SPC TOP 275x1600x150x1455x125x150x8x8 สี LC5802-5 L 
201050018,ไม้บันได SPC TOP 275x1600x150x1455x125x150x8x8 สี LC5802-5 R 
406010001,ขอบ PVC สี PE170  เทียบสีเทา MK203 (ผิว Peal) กว้าง 19 mm. หนา 0.7 mm. ยาว 200 m.
406010002,ขอบ PVC สี PE183 เทียบสี MD557 Combi Brown ( ผิว Wood Veneer) กว้าง 19 mm. หนา 0.7 mm. ยาว 200 m.
406010003,ขอบ PVC สี PE31  ผิวส้ม กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010004,ขอบ PVC สี 98-9483 (PE37) ผิวเอมบอส กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010005,ขอบ PVC สี PE183  เทียบสี MD557 Combi Brown ผิว Wood Veneer  กว้าง 19 mm. หนา 0.7 mm. ยาว 200 m.
406010006,ขอบ PVC สี 98-14510 (PE59) ผิวเอมบอส กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010007,ขอบ PVC สี PE397 ( เทียบสี  AP6 Alutex) ผิวเรียบ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010008,ขอบ PVC สี 98-10981 (PE58/PP58) ผิวเรียบ กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
406010009,ขอบ PVC สี PE226 (เทียบสี HPL.WY4221X) ผิวเอมบอส กว้าง 22 mm. หนา 1 mm. ยาว 200 m.
406010010,ขอบ PVC สี PE183 ( เทียบสี MD557 Combi Brown ) ผิว Wood Veneer กว้าง 28 mm. หนา 1 mm. ยาว 200 m.
406010011,ขอบ PVC สี PE185  (17AYJ52T (ปิยวานิช)) ผิวเอมบอส กว้าง 28 mm. หนา 1 mm. ยาว 200 m.
406010012,ขอบ PVC สี PE57  ผิวเอมบอส กว้าง 32 mm. หนา 1 mm. ยาว 200 m.
406010013,ขอบ PVC สี PE59  ผิวเอมบอส กว้าง 32 mm. หนา 1 mm. ยาว 200 m.
406010014,ขอบ PVC สี 027 ผิวเรียบ กว้าง 19 mm. หนา 0.4 mm. ยาว 200 m.
406010015,ขอบ PVC สี 028 ผิวเรียบ กว้าง 625 mm. หนา 0.4 mm. ยาว 200 m.
406010016,ขอบ PVC สี 028 ผิวเรียบ กว้าง 19 mm. หนา 0.4 mm. ยาว 200 m.
406010017,ขอบ PVC สี 031 ผิวเรียบ กว้าง 19 mm. หนา 0.4 mm. ยาว 200 m.
406010018,ขอบ PVC สี 039 ผิวเรียบ กว้าง 19 mm. หนา 0.4 mm. ยาว 200 m.
406010019,ขอบ PVC สี 89-270 (BLACK เทียบ PURIPLAST HPL BLACK) ผิวดำด้าน กว้าง 19 mm. หนา 1 mm. ยาว 200 m.
