active,default_capacity,code,costs_hour,oee_target,sequence,time_efficiency,name
TRUE,1,PD1-11,921.3,90,1,100,QC ประกอบโถสุขภัณฑ์
TRUE,1,PD1-12,970.62,90,1,100,QC ประกอบอ่างล้างหน้า
TRUE,1,PD1-13,457.83,90,1,100,QC ประกอบอ่างอาบน้ำ
TRUE,1,PD1-14,494.26,90,1,100,QC ประกอบอ่างอาบน้ำ ระบบ
TRUE,1,PD1-15,311.12,90,1,100,La - Fur
TRUE,1,PD1-16,,,1,100,QC ประกอบโถปัสสาวะชาย
TRUE,1,PD1-17,,,1,100,QC ประกอบถังพักน้ำโถสุขภัณฑ์
TRUE,1,PD1-18,,,1,100,QC ตรวจ บรรจุ ACC.
TRUE,1,PD2 -01,0,90,1,100,Vendor ปิดผิว
TRUE,1,PD2 -11,596.44,90,1,100,ตัด 1
TRUE,1,PD2 -12,500.57,90,1,100,ตัด 2
TRUE,1,PD2 -21,365.28,90,1,100,ปิดขอบตรง 1
TRUE,1,PD2 -22,265.74,90,1,100,ปิดขอบตรง 2
TRUE,1,PD2 -23,210.54,90,1,100,ปิดขอบโค้ง
TRUE,1,PD2-31,212.81,90,1,100,เจาะ CNC
TRUE,1,PD2-32,134.73,90,1,100,เจาะ Manual
TRUE,1,PD2-41,104.18,90,1,100,ประกอบชิ้นส่วน
TRUE,1,PD2 -03,0,90,1,100,Vendor ทำสี
TRUE,1,PD2-15,141.07,90,1,100,ขัดไม้
TRUE,1,PD2-51,274.29,90,1,100,พ่นสี
TRUE,1,PD2-61,203.49,90,1,100,แต่งสี
TRUE,1,PD2-71,217.05,90,1,100,ประกอบเฟอร์
TRUE,1,PD2-81,196.29,90,1,100,Pack
TRUE,1,PD2-02,0,90,1,100,Vendorดัด
TRUE,1,PD2 -13,429.61,90,1,100,ตัดตรง
TRUE,1,PD2-14,515.43,90,1,100,ตัดองศา
TRUE,1,PD2-04,827.61,90,1,100,Vendorเชื่อม
TRUE,1,PD2-25,345.11,90,1,100,ขัดเหล็ก
TRUE,1,PD2-52,530.25,90,1,100,พ่นสีฝุ่น
TRUE,1,PD2-42,195.62,90,1,100,ขึ้นรูปไม้ครอบราว
TRUE,1,PD2-52,403.99,90,1,100,ทำสีไม้
TRUE,1,PD2-72,312.08,90,1,100,ประกอบ ราว
TRUE,1,PD2-82,390.02,90,1,100,Packing ราว
TRUE,1,PD2-05,457.02,90,1,100,Vendor เชื่อมโครง
TRUE,1,PD2-82,345.96,90,1,100,Packing โครง
TRUE,1,PD2-73,652.38,90,1,100,ประกอบ บันได
TRUE,1,PD2-24,320.43,90,1,100,ปิดขอบงานบันได
TRUE,1,PD2-62,314.55,90,1,100,แต่งสีงานบันได
TRUE,1,PD2-15,267.5,90,1,100,ตัด SLIDE
TRUE,1,PD2-06,0,90,1,100,Vendor ทำสี
TRUE,1,PD2-01,0,90,1,100,Vendor ปิดผิว
TRUE,1,PD2-33,137.29,90,1,100,เจาะเล็ก
TRUE,1,PD2-43,153.08,90,1,100,ขึ้นรูปเพลาตั้ง
TRUE,1,PD2-24,394.22,90,1,100,แลปปิ้ง
TRUE,1,PD2-16,127.43,90,1,100,ตัด 45
TRUE,1,PD2-61,67.39,90,1,100,Packing ไม้
