2025-12-02 09:51:48,220 - INFO - Log file created: Varify_partner/logs\partner_verify_20251202_095148.log
2025-12-02 09:51:48,892 - INFO - Successfully connected to Odoo as user ID: 2
2025-12-02 09:51:49,307 - INFO - Starting verification from index 0
2025-12-02 09:51:49,307 - INFO - Total records to process: 275
2025-12-02 09:51:49,307 - INFO - Processing batch 0-100 of 275
2025-12-02 09:51:49,454 - INFO - Partner found by old_code_partner: VEN6600047 - ID: 1733, Name: บริษัท รักษาความปลอดภัย ซีเคอาร์ การ์ด จำกัด
2025-12-02 09:51:49,454 - INFO - Partner found: VEN6600047 - ID: 1733, Name: บริษัท รักษาความปลอดภัย ซีเคอาร์ การ์ด จำกัด
2025-12-02 09:51:49,600 - INFO - Partner found by old_code_partner: REL001 - ID: 964, Name: บริษัท ทรู มูฟ เอช ยูนิเวอร์แซล คอมมิวนิเคชั่น จำกัด
2025-12-02 09:51:49,601 - INFO - Partner found: REL001 - ID: 964, Name: บริษัท ทรู มูฟ เอช ยูนิเวอร์แซล คอมมิวนิเคชั่น จำกัด
2025-12-02 09:51:49,732 - INFO - Partner found by old_code_partner: ANOTHER - ID: 3683, Name: เจ้าหนี้การค้าอื่น
2025-12-02 09:51:49,733 - INFO - Partner found: ANOTHER - ID: 3683, Name: เจ้าหนี้การค้าอื่น
2025-12-02 09:51:49,885 - INFO - Partner found by old_code_partner: REL001 - ID: 964, Name: บริษัท ทรู มูฟ เอช ยูนิเวอร์แซล คอมมิวนิเคชั่น จำกัด
2025-12-02 09:51:49,886 - INFO - Partner found: REL001 - ID: 964, Name: บริษัท ทรู มูฟ เอช ยูนิเวอร์แซล คอมมิวนิเคชั่น จำกัด
2025-12-02 09:51:50,039 - INFO - Partner found by old_code_partner: SPD001 - ID: 3709, Name: บริษัท สัมพันธ์พรเทรดดิ้ง จำกัด
2025-12-02 09:51:50,040 - INFO - Partner found: SPD001 - ID: 3709, Name: บริษัท สัมพันธ์พรเทรดดิ้ง จำกัด
2025-12-02 09:51:50,193 - INFO - Partner found by old_code_partner: SPD001 - ID: 3709, Name: บริษัท สัมพันธ์พรเทรดดิ้ง จำกัด
2025-12-02 09:51:50,194 - INFO - Partner found: SPD001 - ID: 3709, Name: บริษัท สัมพันธ์พรเทรดดิ้ง จำกัด
2025-12-02 09:51:50,329 - INFO - Partner found by old_code_partner: SPD001 - ID: 3709, Name: บริษัท สัมพันธ์พรเทรดดิ้ง จำกัด
2025-12-02 09:51:50,329 - INFO - Partner found: SPD001 - ID: 3709, Name: บริษัท สัมพันธ์พรเทรดดิ้ง จำกัด
2025-12-02 09:51:50,477 - INFO - Partner found by old_code_partner: SPD001 - ID: 3709, Name: บริษัท สัมพันธ์พรเทรดดิ้ง จำกัด
2025-12-02 09:51:50,477 - INFO - Partner found: SPD001 - ID: 3709, Name: บริษัท สัมพันธ์พรเทรดดิ้ง จำกัด
2025-12-02 09:51:50,630 - INFO - Partner found by old_code_partner: ANOTHER - ID: 3683, Name: เจ้าหนี้การค้าอื่น
