Timestamp,Document Type,Document Number,Customer Name,Status,Message,Row Number
2025-11-25 16:06:35,Credit_note,BCN25070002,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Success,Successfully processed,449
2025-11-25 16:06:36,Credit_note,CN0706013,บริษัท โฮมสุขภัณฑ์ จำกัด (สำนักงานใหญ่),Success,Successfully processed,463
2025-11-25 16:06:36,Credit_note,CN0706021,บริษัท ซีอาร์ซี เพาเวอร์รีเทล จำกัด,Success,Successfully processed,119
2025-11-25 16:06:37,Credit_note,CN0712003,บริษัท เรือนขวัญ เซรามิค จำกัด,Success,Successfully processed,267
2025-11-25 16:06:38,Credit_note,CN0804005,บริษัท อันดามัน จากุซซี่ จำกัด,Success,Successfully processed,384
2025-11-25 16:06:38,Credit_note,CN0804007,บริษัท ซีอาร์ซี เพาเวอร์รีเทล จำกัด,Success,Successfully processed,120
2025-11-25 16:06:39,Credit_note,CN0809044,บริษัท คาซ่า แอนด์ 99คอนสตรัคชั่น จำกัด,Success,Successfully processed,28
2025-11-25 16:06:40,Credit_note,CN0901001,บริษัท แกรนด์โฮมมาร์ท จำกัด สาขารัตนาธิเบศร์,Success,Successfully processed,18
2025-11-25 16:06:40,Credit_note,CN0903013,บริษัท ซีอาร์ซี เพาเวอร์รีเทล จำกัด (สาขาพัทยา),Success,Successfully processed,132
2025-11-25 16:06:41,Credit_note,CN0910007,บริษัท เดอะ เบย์คลิฟ จำกัด,Success,Successfully processed,158
2025-11-25 16:06:42,Credit_note,CN1001004,บริษัท เจี้ยบเซ้งโฮมเซรามิค จำกัด สำนักงานใหญ่,Success,Successfully processed,33
2025-11-25 16:06:42,Credit_note,CN1004017,บริษัท จอมทองเคหะภัณฑ์ จำกัด (สำนักงานใหญ่),Success,Successfully processed,29
2025-11-25 16:06:43,Credit_note,CN1007004,บริษัท ซีอาร์ซี เพาเวอร์รีเทล จำกัด (สาขารัตนาธิเบศร์),Success,Successfully processed,139
2025-11-25 16:06:43,Credit_note,CN1102006,บริษัท เอ พลัส บี พร๊อบเพอร์ตี้ จำกัด,Success,Successfully processed,389
2025-11-25 16:06:44,Credit_note,CN1102007,บริษัท พีเอสที โมเดิร์น เรียว เอสเตท จำกัด.,Success,Successfully processed,237
2025-11-25 16:06:45,Credit_note,CN1104012,บริษัท ชลบุรีอึ้งย่งล้ง จำกัด สำนักงานใหญ่,Success,Successfully processed,42
2025-11-25 16:06:45,Credit_note,CN1107037,บริษัท ซีอาร์ซี เพาเวอร์รีเทล จำกัด,Success,Successfully processed,121
2025-11-25 16:06:46,Credit_note,CN1107047,บริษัท ซีอาร์ซี เพาเวอร์รีเทล จำกัด (สาขาไทวัสดุบางนา),Success,Successfully processed,127
2025-11-25 16:06:46,Credit_note,CN1107048,บริษัท ซีอาร์ซี เพาเวอร์รีเทล จำกัด (สาขาไทวัสดุบางนา),Success,Successfully processed,128
2025-11-25 16:06:47,Credit_note,CN1107055,บริษัท ซีอาร์ซี เพาเวอร์รีเทล จำกัด (สาขาไทวัสดุบางนา),Success,Successfully processed,129
2025-11-25 16:06:48,Credit_note,CN1107056,บริษัท ซีอาร์ซี เพาเวอร์รีเทล จำกัด (สาขาไทวัสดุบางนา),Success,Successfully processed,130
2025-11-25 16:06:48,Credit_note,CN1107070,บริษัท ซีอาร์ซี เพาเวอร์รีเทล จำกัด (สาขาไทวัสดุบางนา),Success,Successfully processed,131
2025-11-25 16:06:49,Credit_note,CN1109011,บริษัท พลาคลิฟ บีช รีสอร์ท จำกัด,Success,Successfully processed,234
2025-11-25 16:06:50,Credit_note,CN1201009,บริษัท ซีอาร์ซี เพาเวอร์รีเทล จำกัด (สาขาไทวัสดุ สุขาภิบาล3),Success,Successfully processed,126
2025-11-25 16:06:50,Credit_note,CN1202042,บริษัท ชิคพร็อตเพอร์ตี้ จำกัด. (เปิดในรหัสSTWO),Success,Successfully processed,46
2025-11-25 16:06:51,Credit_note,CN1208002,บริษัท ชลบุรีอึ้งย่งล้ง จำกัด สำนักงานใหญ่,Success,Successfully processed,43
2025-11-25 16:06:52,Credit_note,CN1210020,บริษัท รองเท้า เอส.ซี.เอส จำกัด,Success,Successfully processed,262
2025-11-25 16:06:52,Credit_note,CN1310013,ลิฟวิ่ง แอท โฮมจำกัด,Success,Successfully processed,473
2025-11-25 16:06:53,Credit_note,CN1312005,บริษัท วิษณุโชค จำกัด,Success,Successfully processed,270
2025-11-25 16:06:54,Credit_note,CN1407001,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาภูเก็ต 1) สาขาที่ 20,Success,Successfully processed,66
2025-11-25 16:06:54,Credit_note,CN1407020,บริษัท ซีอาร์ซี เพาเวอร์ รีเทล จำกัด (สาขาไทวัสดุ ขอนแก่น),Success,Successfully processed,96
2025-11-25 16:06:55,Credit_note,CN1407021,บริษัท ซีอาร์ซี เพาเวอร์ รีเทล จำกัด (สาขาไทวัสดุ สุพรรณบุรี),Success,Successfully processed,108
2025-11-25 16:06:55,Credit_note,CN1407022,บริษัท ซีอาร์ซี เพาเวอร์ รีเทล จำกัด (สาขาไทวัสดุ ร้อยเอ็ด),Success,Successfully processed,103
2025-11-25 16:06:56,Credit_note,CN1407023,บริษัท ซีอาร์ซี เพาเวอร์ รีเทล จำกัด (สาขาไทวัสดุ บุรีรัมย์),Success,Successfully processed,101
2025-11-25 16:06:57,Credit_note,CN1407024,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาตรัง) สาขาที่ 7,Success,Successfully processed,56
2025-11-25 16:06:57,Credit_note,CN1407025,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาอุดรธานี),Success,Successfully processed,89
2025-11-25 16:06:58,Credit_note,CN1407026,บริษัท ซีอาร์ซี เพาเวอร์ รีเทล จำกัด (สาขาไทวัสดุ หาดใหญ่),Success,Successfully processed,110
2025-11-25 16:06:59,Credit_note,CN1407027,บริษัท ซีอาร์ซี เพาเวอร์ รีเทล จำกัด (สาขาไทวัสดุ มหาชัย),Success,Successfully processed,102
2025-11-25 16:06:59,Credit_note,CN1407028,บริษัท ซีอาร์ซี เพาเวอร์ รีเทล จำกัด (สาขาไทวัสดุ ลพบุรี),Success,Successfully processed,104
2025-11-25 16:07:00,Credit_note,CN1407029,บริษัท ซีอาร์ซี เพาเวอร์ รีเทล จำกัด (สาขาไทวัสดุ สุขาภิบาล3),Success,Successfully processed,107
2025-11-25 16:07:00,Credit_note,CN1407030,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาคลังสินค้า) สาขาที่ 8,Success,Successfully processed,50
2025-11-25 16:07:01,Credit_note,CN1407031,บริษัท ซีอาร์ซี เพาเวอร์ รีเทล จำกัด (คลังสินค้า),Success,Successfully processed,94
2025-11-25 16:07:02,Credit_note,CN1407032,บริษัท ซีอาร์ซี เพาเวอร์ รีเทล จำกัด (สาขาไทวัสดุ สุราษฎร์ธานี),Success,Successfully processed,109
2025-11-25 16:07:02,Credit_note,CN1407033,บริษัท ซีอาร์ซี เพาเวอร์ รีเทล จำกัด (สาขาไทวัสดุ กาญจนบุรี),Success,Successfully processed,95
2025-11-25 16:07:03,Credit_note,CN1407034,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขามุกดาหาร),Success,Successfully processed,70
2025-11-25 16:07:04,Credit_note,CN1407035,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาระยอง) สาขาที่ 1,Success,Successfully processed,71
2025-11-25 16:07:04,Credit_note,CN1407037,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาคลังสินค้า) สาขาที่ 8,Success,Successfully processed,51
2025-11-25 16:07:05,Credit_note,CN1407038,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาศาลายา),Success,Successfully processed,83
2025-11-25 16:07:06,Credit_note,CN1407039,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาศาลายา),Success,Successfully processed,84
2025-11-25 16:07:07,Credit_note,CN1407040,บริษัท ซีอาร์ซี เพาเวอร์ รีเทล จำกัด (สาขาไทวัสดุ เชียงใหม่),Success,Successfully processed,99
2025-11-25 16:07:07,Credit_note,CN1407041,บริษัท ซีอาร์ซี เพาเวอร์ รีเทล จำกัด (สาขาไทวัสดุ เชียงใหม่),Success,Successfully processed,100
2025-11-25 16:07:08,Credit_note,CN1407042,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาลำปาง),Success,Successfully processed,82
2025-11-25 16:07:08,Credit_note,CN1407043,บริษัท ซีอาร์ซี เพาเวอร์ รีเทล จำกัด (สาขาไทวัสดุ ลำปาง),Success,Successfully processed,105
2025-11-25 16:07:09,Credit_note,CN1407044,บริษัท ซีอาร์ซี เพาเวอร์ รีเทล จำกัด (สาขาราชพฤกษ์),Success,Successfully processed,113
2025-11-25 16:07:10,Credit_note,CN1407045,บริษัท ซีอาร์ซี เพาเวอร์ รีเทล จำกัด (สาขาไทวัสดุ จันทบุรี),Success,Successfully processed,97
2025-11-25 16:07:10,Credit_note,CN1407046,บริษัท ซีอาร์ซี เพาเวอร์ รีเทล จำกัด (สาขาไทวัสดุ จันทบุรี),Success,Successfully processed,98
2025-11-25 16:07:11,Credit_note,CN1407047,บริษัท ซีอาร์ซี เพาเวอร์ รีเทล จำกัด (สาขารัตนาธิเบศร์),Success,Successfully processed,111
2025-11-25 16:07:12,Credit_note,CN1407048,บริษัท ซีอาร์ซี เพาเวอร์ รีเทล จำกัด (สาขารัตนาธิเบศร์),Success,Successfully processed,112
2025-11-25 16:07:12,Credit_note,CN1407049,บริษัท ซีอาร์ซี เพาเวอร์รีเทล จำกัด (สาขาไทวัสดุ บางนา),Success,Successfully processed,124
2025-11-25 16:07:13,Credit_note,CN1407050,บริษัท ซีอาร์ซี เพาเวอร์รีเทล จำกัด (สาขาราชพฤกษ์),Success,Successfully processed,140
2025-11-25 16:07:13,Credit_note,CN1407051,บริษัท ซีอาร์ซี เพาเวอร์รีเทล (สาขาพระราม 2),Success,Successfully processed,114
2025-11-25 16:07:14,Credit_note,CN1407052,บริษัท ซีอาร์ซี เพาเวอร์ รีเทล จำกัด (สาขาไทวัสดุ สกลนคร),Success,Successfully processed,106
2025-11-25 16:07:15,Credit_note,CN1407053,บริษัท ซีอาร์ซี เพาเวอร์รีเทล จำกัด (สาขาฟิวเจอร์พาร์ค รังสิต),Success,Successfully processed,137
