Timestamp,Document Type,Document Number,Vendor Name,Status,Message,Row Number
2025-11-07 15:58:08,Refund,BGD-000001,บริษัท ไอดอล ซิสเท่ม จำกัด (สำนักงานใหญ่),Success,Successfully processed,5
2025-11-07 15:58:10,Refund,BGD-000002,บริษัท ไอดอล ซิสเท่ม จำกัด (สำนักงานใหญ่),Success,Successfully processed,6
2025-11-07 15:58:10,Refund,BGD-000003,บริษัท ไอดอล ซิสเท่ม จำกัด (สำนักงานใหญ่),Success,Successfully processed,7
2025-11-07 15:58:11,Refund,BGD-000004,บริษัท ไอดอล ซิสเท่ม จำกัด (สำนักงานใหญ่),Success,Successfully processed,8
2025-11-07 15:58:12,Refund,BGD-000635,บริษัท ไอดอล ซิสเท่ม จำกัด (สำนักงานใหญ่),Success,Successfully processed,9
2025-11-07 15:58:12,Refund,BGD-000784,บริษัท คาซ่า อินโนเทค จำกัด (สำนักงานใหญ่),Success,Successfully processed,2
2025-11-07 15:58:13,Refund,BGD-000838,บริษัท เอส.เอส.โซลูชั่น จำกัด (สำนักงานใหญ่),Success,Successfully processed,16
2025-11-07 15:58:14,Refund,BGD-000857,บริษัท ย่งง้วนเหล็กกล้า จำกัด (สำนักงานใหญ่),Success,Successfully processed,17
2025-11-07 15:58:16,Refund,BGD-000881,"MIROTONE (THAILAND) CO., LTD.",Success,Successfully processed,11
2025-11-07 15:58:17,Refund,BGD-000897,บริษัท ย่งง้วนเหล็กกล้า จำกัด (สำนักงานใหญ่),Success,Successfully processed,18
2025-11-07 15:58:17,Refund,BGD-000898,บริษัท คาซ่า อินโนเทค จำกัด (สำนักงานใหญ่),Success,Successfully processed,3
2025-11-07 15:58:18,Refund,BGD-000930,"MIROTONE (THAILAND) CO., LTD.",Success,Successfully processed,12
2025-11-07 15:58:19,Refund,BGD-000935,บริษัท พี.เอส.เอ็ม.ฮาร์ดแวร์ จำกัด (สำนักงานใหญ่),Success,Successfully processed,13
2025-11-07 15:58:19,Refund,BGD-000944,บริษัท ย่งง้วนเหล็กกล้า จำกัด (สำนักงานใหญ่),Success,Successfully processed,19
2025-11-07 15:58:20,Refund,BGD-000945,บริษัท ย่งง้วนเหล็กกล้า จำกัด (สำนักงานใหญ่),Success,Successfully processed,20
2025-11-07 15:58:21,Refund,BGD-000946,บริษัท ย่งง้วนเหล็กกล้า จำกัด (สำนักงานใหญ่),Success,Successfully processed,21
2025-11-07 15:58:21,Refund,BGD-000947,บริษัท ย่งง้วนเหล็กกล้า จำกัด (สำนักงานใหญ่),Success,Successfully processed,22
2025-11-07 15:58:22,Refund,BGD-000948,บริษัท ย่งง้วนเหล็กกล้า จำกัด (สำนักงานใหญ่),Success,Successfully processed,23
2025-11-07 15:58:23,Refund,BGD-001126,บริษัท ที กรุ๊ป เอ็นจิเนียแอนด์แมชชีนทูล จำกัด (สำนักงานใหญ่),Success,Successfully processed,46
2025-11-07 15:58:23,Refund,BGD-001148,บริษัท ที กรุ๊ป เอ็นจิเนียแอนด์แมชชีนทูล จำกัด (สำนักงานใหญ่),Success,Successfully processed,44
2025-11-07 15:58:24,Refund,BGD-001156,บริษัท พี.เอส.เอ็ม.ฮาร์ดแวร์ จำกัด (สำนักงานใหญ่),Success,Successfully processed,50
