default_code,name,type
LF0004LC03B,,finished_product
LF0006GR1400,,finished_product
LFM006NL1870,,finished_product
LFM052NL1870,,finished_product
LFU0050DDL21521,,finished_product
LFU0331H3,,finished_product
LFU034G5L01,,finished_product
LFU034G5L16,,finished_product
LFU33APL160,,finished_product
LS0026LC1710,,finished_product
LS0028LC1860,,finished_product
MFG037HC39,,finished_product
MFS019LC770,,finished_product
AW10T1-1,,component
AW10T1-2,,component
CLEO_W4060_L_FZ,,component
CLEO_W4060_L_RA,,component
CLEO_W4060_L_FZ,,component
CLEO_W4060_L_RA,,component
CLEO_W4060_L_FZ,,component
CLEO_4060_RA,,component
CLEO_4060_1D_FZ,,component
CLEO_4060_1D_FZ,,component
CLEO_4060_FZ,,component
F6180S,,component
F9052K8,,component
FT15070F,,component
F15070C,,component
F18A60L4,,component
MA014,,component
F34045K-N,,component
F34075P,,component
MA343,,component
F35112Y,,component
F4052K,,component
F6060L4,,component
F43076KV,,component
F1075#B,,component
F48070U,,component
F48070Y,,component
F5053L4,,component
F52130DW,,component
F5360L4,,component
F5047L2,,component
F5047L4,,component
F5047L4,,component
F6060L4,,component
F6060L4,,component
F6060L4,,component
F6060#C,,component
F10070KS8,,component
F10070KS2,,component
F15090H-N,,component
MA154,,component
MA154,,component
MA154,,component
MA154,,component
MA154,,component
MA343,,component
F36026L,,component
F42032L,,component
F43055L,,component
F43055L,,component
FP50047U-N,,component
F50050K2-N,,component
F52105LZ2,,component
F53060F-N,,component
F19120V2G1,,component
FM57119T12-N,,component
FM57123T12-N,,component
FM57149T12-N,,component
FM9053T3,,component
FM15080K4P10-N,,component
FM15080K4V7-N,,component
FM15080K4P11-N,,component
FM33060U13,,component
FM34045U7,,component
FM35053S7,,component
FM48070T3,,component
FM48155K4P10,,component
FM48155K4P10,,component
FM50047U7,,component
FM50047S4,,component
FM50047T3,,component
FM50047U7,,component
FM50047S4,,component
FM50047T3,,component
FM57046K7,,component
FM57080T12-N,,component
FM57120T12-N,,component
FM48100U15,,component
FM48092U15-N,,component
FM48092U15-N,,component
FM50047K-N,,component
FM50047U-N,,component
FM52114U17,,component
FM52114S12,,component
FM52114U17,,component
FM57100T12-N,,component
FM57072T12-N,,component
FM57072T12-N,,component
FM57072T12-N,,component
FP50047X2,,component
FP50047U7,,component
FP50047S4,,component
FP50047T3,,component
FP50047U7,,component
FP50047S4,,component
FP50047T3,,component
F50050K2-N,,component
FT15120/1,,component
FTS35083,,component
FU50047D3,,component
FTS52150,,component
FU53060P21,,component
FU53080C2-N,,component
FU5080WO2,,component
FU5055WO2-N,,component
FU15080F-N,,component
FU18A60F,,component
FU33034WO2,,component
FU33060F7,,component
FU34045G,,component
FU34045G,,component
FU34045P1,,component
FU34075D,,component
FU34075P,,component
FU35053G,,component
FU35053G,,component
FU35053U3,,component
FU35053K2,,component
FU35080S2,,component
FU35140HM,,component
FTS35150,,component
FU35223HM,,component
FU35225HM,,component
FU36027,,component
FU36027,,component
FU36029-L,,component
FU36029-R,,component
FU4052G,,component
FU4052G,,component
